", 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
07:57:27 AM       tps      rtps      wtps   bread/s   bwrtn/s;;;;;;;;7:57:27;AM;tps;rtps;wtps;bread/s;bwrtn/s
08:05:57 AM      2,40      0,00      2,40      0,00     52,80;;;;;;;;8:05:57;AM;2,4;0;2,4;0;52,8
08:06:07 AM      1,50      0,00      1,50      0,00     40,80;;;;;;;;8:06:07;AM;1,5;0;1,5;0;40,8
08:06:17 AM      1,30      0,00      1,30      0,00     28,00;;;;;;;;8:06:17;AM;1,3;0;1,3;0;28
08:06:27 AM      4,00      0,00      4,00      0,00     56,80;;;;;;;;8:06:27;AM;4;0;4;0;56,8
08:06:37 AM      1,30      0,00      1,30      0,00     32,00;;;;;;;;8:06:37;AM;1,3;0;1,3;0;32
08:06:47 AM      1,30      0,00      1,30      0,00     31,20;;;;;;;;8:06:47;AM;1,3;0;1,3;0;31,2
08:06:57 AM      2,00      0,00      2,00      0,00     26,40;;;;;;;;8:06:57;AM;2;0;2;0;26,4
08:07:07 AM      1,60      0,00      1,60      0,00     36,80;;;;;;;;8:07:07;AM;1,6;0;1,6;0;36,8
08:07:17 AM      1,70      0,00      1,70      0,00     37,60;;;;;;;;8:07:17;AM;1,7;0;1,7;0;37,6
08:07:27 AM      2,10      0,00      2,10      0,00     44,00;;;;;;;;8:07:27;AM;2,1;0;2,1;0;44
08:07:37 AM      1,70      0,00      1,70      0,00     28,00;;;;;;;;8:07:37;AM;1,7;0;1,7;0;28
08:07:47 AM      1,60      0,00      1,60      0,00     39,20;;;;;;;;8:07:47;AM;1,6;0;1,6;0;39,2
08:07:57 AM      1,90      0,00      1,90      0,00     41,60;;;;;;;;8:07:57;AM;1,9;0;1,9;0;41,6
08:08:07 AM      3,90      0,00      3,90      0,00     64,00;;;;;;;;8:08:07;AM;3,9;0;3,9;0;64
08:08:17 AM      3,60      0,00      3,60      0,00     76,00;;;;;;;;8:08:17;AM;3,6;0;3,6;0;76
08:08:27 AM      2,30      0,00      2,30      0,00     41,60;;;;;;;;8:08:27;AM;2,3;0;2,3;0;41,6
08:08:37 AM      1,20      0,00      1,20      0,00     28,80;;;;;;;;8:08:37;AM;1,2;0;1,2;0;28,8
08:08:47 AM      3,50      0,00      3,50      0,00     58,40;;;;;;;;8:08:47;AM;3,5;0;3,5;0;58,4
08:08:57 AM      1,20      0,00      1,20      0,00     21,60;;;;;;;;8:08:57;AM;1,2;0;1,2;0;21,6
08:09:07 AM      2,00      0,00      2,00      0,00     40,80;;;;;;;;8:09:07;AM;2;0;2;0;40,8
08:09:17 AM      3,10      0,00      3,10      0,00     50,40;;;;;;;;8:09:17;AM;3,1;0;3,1;0;50,4
08:09:27 AM      2,50      0,00      2,50      0,00     48,80;;;;;;;;8:09:27;AM;2,5;0;2,5;0;48,8
08:09:37 AM      0,80      0,00      0,80      0,00     20,80;;;;;;;;8:09:37;AM;0,8;0;0,8;0;20,8
08:09:47 AM      1,50      0,00      1,50      0,00     32,00;;;;;;;;8:09:47;AM;1,5;0;1,5;0;32
08:09:57 AM      3,20      0,00      3,20      0,00     52,00;;;;;;;;8:09:57;AM;3,2;0;3,2;0;52
08:10:07 AM      2,30      0,00      2,30      0,00     60,00;;;;;;;;8:10:07;AM;2,3;0;2,3;0;60
08:10:17 AM      1,40      0,00      1,40      0,00     28,00;;;;;;;;8:10:17;AM;1,4;0;1,4;0;28
08:10:27 AM      4,30      0,00      4,30      0,00     62,40;;;;;;;;8:10:27;AM;4,3;0;4,3;0;62,4
08:10:37 AM      1,80      0,00      1,80      0,00     36,00;;;;;;;;8:10:37;AM;1,8;0;1,8;0;36
08:10:47 AM      1,30      0,00      1,30      0,00     28,80;;;;;;;;8:10:47;AM;1,3;0;1,3;0;28,8
08:10:57 AM      1,60      0,00      1,60      0,00     37,60;;;;;;;;8:10:57;AM;1,6;0;1,6;0;37,6
08:11:07 AM      3,80      0,00      3,80      0,00     58,40;;;;;;;;8:11:07;AM;3,8;0;3,8;0;58,4
08:11:17 AM      1,60      0,00      1,60      0,00     36,80;;;;;;;;8:11:17;AM;1,6;0;1,6;0;36,8
08:11:27 AM      2,20      0,00      2,20      0,00     45,60;;;;;;;;8:11:27;AM;2,2;0;2,2;0;45,6
08:11:37 AM      2,10      0,00      2,10      0,00     31,20;;;;;;;;8:11:37;AM;2,1;0;2,1;0;31,2
08:11:47 AM      1,70      0,00      1,70      0,00     36,00;;;;;;;;8:11:47;AM;1,7;0;1,7;0;36
08:11:57 AM      1,60      0,00      1,60      0,00     36,80;;;;;;;;8:11:57;AM;1,6;0;1,6;0;36,8
08:12:07 AM      2,10      0,00      2,10      0,00     48,80;;;;;;;;8:12:07;AM;2,1;0;2,1;0;48,8
08:12:17 AM      2,00      0,00      2,00      0,00     32,80;;;;;;;;8:12:17;AM;2;0;2;0;32,8
08:12:27 AM      2,20      0,00      2,20      0,00     43,20;;;;;;;;8:12:27;AM;2,2;0;2,2;0;43,2
08:12:37 AM      1,20      0,00      1,20      0,00     28,00;;;;;;;;8:12:37;AM;1,2;0;1,2;0;28
08:12:47 AM      2,30      0,00      2,30      0,00     38,40;;;;;;;;8:12:47;AM;2,3;0;2,3;0;38,4
08:12:57 AM      1,70      0,00      1,70      0,00     40,00;;;;;;;;8:12:57;AM;1,7;0;1,7;0;40
08:13:07 AM      1,70      0,00      1,70      0,00     39,20;;;;;;;;8:13:07;AM;1,7;0;1,7;0;39,2
