", 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
07:57:27 AM       tps      rtps      wtps   bread/s   bwrtn/s;;;;;;;;7:57:27;AM;tps;rtps;wtps;bread/s;bwrtn/s
08:33:07 AM      2,90      0,00      2,90      0,00     45,60;;;;;;;;8:33:07;AM;2,9;0;2,9;0;45,6
08:33:17 AM      4,20      0,00      4,20      0,00     94,40;;;;;;;;8:33:17;AM;4,2;0;4,2;0;94,4
08:33:27 AM      1,30      0,00      1,30      0,00     31,20;;;;;;;;8:33:27;AM;1,3;0;1,3;0;31,2
08:33:37 AM      3,40      0,00      3,40      0,00     48,80;;;;;;;;8:33:37;AM;3,4;0;3,4;0;48,8
08:33:47 AM      1,30      0,00      1,30      0,00     28,80;;;;;;;;8:33:47;AM;1,3;0;1,3;0;28,8
08:33:57 AM      2,60      0,00      2,60      0,00     51,20;;;;;;;;8:33:57;AM;2,6;0;2,6;0;51,2
08:34:07 AM      1,90      0,00      1,90      0,00     59,20;;;;;;;;8:34:07;AM;1,9;0;1,9;0;59,2
08:34:17 AM      2,40      0,00      2,40      0,00     41,60;;;;;;;;8:34:17;AM;2,4;0;2,4;0;41,6
08:34:27 AM      1,40      0,00      1,40      0,00     31,20;;;;;;;;8:34:27;AM;1,4;0;1,4;0;31,2
08:34:37 AM      2,20      0,00      2,20      0,00     43,20;;;;;;;;8:34:37;AM;2,2;0;2,2;0;43,2
08:34:47 AM      1,80      0,00      1,80      0,00     33,60;;;;;;;;8:34:47;AM;1,8;0;1,8;0;33,6
08:34:57 AM      1,50      0,00      1,50      0,00     32,80;;;;;;;;8:34:57;AM;1,5;0;1,5;0;32,8
08:35:07 AM      1,20      0,00      1,20      0,00     28,00;;;;;;;;8:35:07;AM;1,2;0;1,2;0;28
08:35:17 AM      2,40      0,00      2,40      0,00     51,20;;;;;;;;8:35:17;AM;2,4;0;2,4;0;51,2
08:35:27 AM      3,10      0,00      3,10      0,00     49,55;;;;;;;;8:35:27;AM;3,1;0;3,1;0;49,55
08:35:37 AM      1,40      0,00      1,40      0,00     30,40;;;;;;;;8:35:37;AM;1,4;0;1,4;0;30,4
08:35:47 AM      1,00      0,00      1,00      0,00     24,80;;;;;;;;8:35:47;AM;1;0;1;0;24,8
08:35:57 AM      2,80      0,00      2,80      0,00     49,60;;;;;;;;8:35:57;AM;2,8;0;2,8;0;49,6
08:36:07 AM      1,90      0,00      1,90      0,00     44,80;;;;;;;;8:36:07;AM;1,9;0;1,9;0;44,8
08:36:17 AM      1,40      0,00      1,40      0,00     32,00;;;;;;;;8:36:17;AM;1,4;0;1,4;0;32
08:36:27 AM      1,80      0,00      1,80      0,00     24,80;;;;;;;;8:36:27;AM;1,8;0;1,8;0;24,8
08:36:37 AM      2,40      0,00      2,40      0,00     54,40;;;;;;;;8:36:37;AM;2,4;0;2,4;0;54,4
08:36:47 AM      1,10      0,00      1,10      0,00     28,00;;;;;;;;8:36:47;AM;1,1;0;1,1;0;28
08:36:57 AM      1,40      0,00      1,40      0,00     32,00;;;;;;;;8:36:57;AM;1,4;0;1,4;0;32
08:37:07 AM      2,60      0,00      2,60      0,00     40,00;;;;;;;;8:37:07;AM;2,6;0;2,6;0;40
08:37:17 AM      2,70      0,00      2,70      0,00     52,80;;;;;;;;8:37:17;AM;2,7;0;2,7;0;52,8
08:37:27 AM      1,30      0,00      1,30      0,00     36,00;;;;;;;;8:37:27;AM;1,3;0;1,3;0;36
Average:         2,16      0,00      2,16      0,02     41,59;;;;;;;;;;;;;;
