"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
07:58:19 AM       1      0,10      0,00      0,10      0,10      0,00     99,70;;;;;;;;;7:58:19;AM;1;0,1;0;0,1;0,1;0;99,7
07:58:19 AM       2      0,20      0,00      0,30      0,10      0,00     99,40;;;;;;;;;7:58:19;AM;2;0,2;0;0,3;0,1;0;99,4
07:58:19 AM       3      0,00      0,00      0,10      0,10      0,00     99,80;;;;;;;;;7:58:19;AM;3;0;0;0,1;0,1;0;99,8
07:58:19 AM       4      0,10      0,00      0,10      0,20      0,00     99,60;;;;;;;;;7:58:19;AM;4;0,1;0;0,1;0,2;0;99,6
07:58:19 AM       5      0,00      0,00      0,00      0,00      0,00    100,00;;;;;;;;;7:58:19;AM;5;0;0;0;0;0;100
;;;;;;;;;;;;;;;;;
07:58:19 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle;;;;;;;;;7:58:19;AM;CPU;%user;%nice;%system;%iowait;%steal;%idle
07:58:29 AM     all      0,10      0,00      0,08      0,02      0,00     99,80;;;;;;;;;7:58:29;AM;all;0,1;0;0,08;0,02;0;99,8
07:58:29 AM       0      0,10      0,00      0,10      0,00      0,00     99,80;;;;;;;;;7:58:29;AM;0;0,1;0;0,1;0;0;99,8
07:58:29 AM       1      0,10      0,00      0,10      0,00      0,00     99,80;;;;;;;;;7:58:29;AM;1;0,1;0;0,1;0;0;99,8
07:58:29 AM       2      0,20      0,00      0,20      0,10      0,00     99,50;;;;;;;;;7:58:29;AM;2;0,2;0;0,2;0,1;0;99,5
07:58:29 AM       3      0,10      0,00      0,20      0,00      0,00     99,70;;;;;;;;;7:58:29;AM;3;0,1;0;0,2;0;0;99,7
07:58:29 AM       4      0,10      0,00      0,00      0,00      0,00     99,90;;;;;;;;;7:58:29;AM;4;0,1;0;0;0;0;99,9
07:58:29 AM       5      0,00      0,00      0,10      0,00      0,00     99,90;;;;;;;;;7:58:29;AM;5;0;0;0,1;0;0;99,9
;;;;;;;;;;;;;;;;;
07:58:29 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle;;;;;;;;;7:58:29;AM;CPU;%user;%nice;%system;%iowait;%steal;%idle
07:58:39 AM     all      0,13      0,00      0,15      0,00      0,00     99,72;;;;;;;;;7:58:39;AM;all;0,13;0;0,15;0;0;99,72
07:58:39 AM       0      0,00      0,00      0,10      0,00      0,00     99,90;;;;;;;;;7:58:39;AM;0;0;0;0,1;0;0;99,9
07:58:39 AM       1      0,10      0,00      0,10      0,00      0,00     99,80;;;;;;;;;7:58:39;AM;1;0,1;0;0,1;0;0;99,8
07:58:39 AM       2      0,50      0,00      0,40      0,00      0,00     99,10;;;;;;;;;7:58:39;AM;2;0,5;0;0,4;0;0;99,1
07:58:39 AM       3      0,10      0,00      0,00      0,00      0,00     99,90;;;;;;;;;7:58:39;AM;3;0,1;0;0;0;0;99,9
07:58:39 AM       4      0,10      0,00      0,20      0,00      0,00     99,70;;;;;;;;;7:58:39;AM;4;0,1;0;0,2;0;0;99,7
07:58:39 AM       5      0,00      0,00      0,00      0,00      0,00    100,00;;;;;;;;;7:58:39;AM;5;0;0;0;0;0;100
;;;;;;;;;;;;;;;;;
07:58:39 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle;;;;;;;;;7:58:39;AM;CPU;%user;%nice;%system;%iowait;%steal;%idle
07:58:49 AM     all      0,05      0,00      0,12      0,07      0,00     99,77;;;;;;;;;7:58:49;AM;all;0,05;0;0,12;0,07;0;99,77
07:58:49 AM       0      0,10      0,00      0,20      0,40      0,00     99,30;;;;;;;;;7:58:49;AM;0;0,1;0;0,2;0,4;0;99,3
07:58:49 AM       1      0,10      0,00      0,10      0,00      0,00     99,80;;;;;;;;;7:58:49;AM;1;0,1;0;0,1;0;0;99,8
07:58:49 AM       2      0,10      0,00      0,20      0,10      0,00     99,60;;;;;;;;;7:58:49;AM;2;0,1;0;0,2;0,1;0;99,6
