"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
07:57:13 AM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked;;;;;;;;;7:57:13;AM;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
08:32:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:32:43;AM;0;393;0;0,01;0,05;0
08:32:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:32:53;AM;0;393;0;0,01;0,05;0
08:33:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:33:03;AM;0;393;0;0,01;0,05;0
08:33:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:33:13;AM;0;393;0;0,01;0,05;0
08:33:23 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:33:23;AM;0;393;0;0,01;0,05;0
08:33:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:33:33;AM;0;393;0;0,01;0,05;0
08:33:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:33:43;AM;0;393;0;0,01;0,05;0
08:33:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:33:53;AM;0;393;0;0,01;0,05;0
08:34:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:34:03;AM;0;393;0;0,01;0,05;0
08:34:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:34:13;AM;0;393;0;0,01;0,05;0
08:34:23 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:34:23;AM;0;393;0;0,01;0,05;0
08:34:33 AM         2       393      0,00      0,01      0,05         0;;;;;;;;;8:34:33;AM;2;393;0;0,01;0,05;0
08:34:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:34:43;AM;0;393;0;0,01;0,05;0
08:34:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:34:53;AM;0;393;0;0,01;0,05;0
08:35:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:35:03;AM;0;393;0;0,01;0,05;0
08:35:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:35:13;AM;0;393;0;0,01;0,05;0
08:35:23 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:35:23;AM;0;393;0;0,01;0,05;0
08:35:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:35:33;AM;0;393;0;0,01;0,05;0
08:35:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:35:43;AM;0;393;0;0,01;0,05;0
08:35:53 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:35:53;AM;1;393;0;0,01;0,05;0
08:36:03 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:36:03;AM;0;394;0;0,01;0,05;0
08:36:13 AM         0       395      0,00      0,01      0,05         0;;;;;;;;;8:36:13;AM;0;395;0;0,01;0,05;0
08:36:23 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:36:23;AM;0;393;0;0,01;0,05;0
08:36:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:36:33;AM;0;393;0;0,01;0,05;0
08:36:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:36:43;AM;0;393;0;0,01;0,05;0
08:36:53 AM         1       392      0,00      0,01      0,05         0;;;;;;;;;8:36:53;AM;1;392;0;0,01;0,05;0
08:37:03 AM         1       392      0,00      0,01      0,05         0;;;;;;;;;8:37:03;AM;1;392;0;0,01;0,05;0
08:37:13 AM         1       388      0,00      0,01      0,05         0;;;;;;;;;8:37:13;AM;1;388;0;0,01;0,05;0
Average:            0       393      0,00      0,01      0,05         0;;;;;;;;;;;;;;;;
