"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
07:57:16 AM kbswpfree kbswpused  %swpused  kbswpcad   %swpcad;;;;;;;;;7:57:16;AM;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad
08:01:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:01:26;AM;0;0;0;0;0
08:01:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:01:36;AM;0;0;0;0;0
08:01:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:01:46;AM;0;0;0;0;0
08:01:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:01:56;AM;0;0;0;0;0
08:02:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:02:06;AM;0;0;0;0;0
08:02:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:02:16;AM;0;0;0;0;0
08:02:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:02:26;AM;0;0;0;0;0
08:02:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:02:36;AM;0;0;0;0;0
08:02:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:02:46;AM;0;0;0;0;0
08:02:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:02:56;AM;0;0;0;0;0
08:03:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:03:06;AM;0;0;0;0;0
08:03:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:03:16;AM;0;0;0;0;0
08:03:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:03:26;AM;0;0;0;0;0
08:03:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:03:36;AM;0;0;0;0;0
08:03:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:03:46;AM;0;0;0;0;0
08:03:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:03:56;AM;0;0;0;0;0
08:04:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:04:06;AM;0;0;0;0;0
08:04:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:04:16;AM;0;0;0;0;0
08:04:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:04:26;AM;0;0;0;0;0
08:04:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:04:36;AM;0;0;0;0;0
08:04:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:04:46;AM;0;0;0;0;0
08:04:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:04:56;AM;0;0;0;0;0
08:05:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:05:06;AM;0;0;0;0;0
08:05:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:05:16;AM;0;0;0;0;0
08:05:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:05:26;AM;0;0;0;0;0
08:05:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:05:36;AM;0;0;0;0;0
08:05:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:05:46;AM;0;0;0;0;0
08:05:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:05:56;AM;0;0;0;0;0
08:06:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:06:06;AM;0;0;0;0;0
08:06:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:06:16;AM;0;0;0;0;0
08:06:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:06:26;AM;0;0;0;0;0
08:06:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:06:36;AM;0;0;0;0;0
08:06:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:06:46;AM;0;0;0;0;0
08:06:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:06:56;AM;0;0;0;0;0
08:07:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:07:06;AM;0;0;0;0;0
08:07:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:07:16;AM;0;0;0;0;0
08:07:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:07:26;AM;0;0;0;0;0
08:07:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:07:36;AM;0;0;0;0;0
08:07:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:07:46;AM;0;0;0;0;0
08:07:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:07:56;AM;0;0;0;0;0
08:08:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:08:06;AM;0;0;0;0;0
08:08:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:08:16;AM;0;0;0;0;0
08:08:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:08:26;AM;0;0;0;0;0
08:08:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:08:36;AM;0;0;0;0;0
08:08:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:08:46;AM;0;0;0;0;0
08:08:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:08:56;AM;0;0;0;0;0
08:09:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:09:06;AM;0;0;0;0;0
08:09:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:09:16;AM;0;0;0;0;0
08:09:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:09:26;AM;0;0;0;0;0
08:09:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:09:36;AM;0;0;0;0;0
08:09:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:09:46;AM;0;0;0;0;0
08:09:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:09:56;AM;0;0;0;0;0
08:10:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:10:06;AM;0;0;0;0;0
08:10:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:10:16;AM;0;0;0;0;0
08:10:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:10:26;AM;0;0;0;0;0
08:10:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:10:36;AM;0;0;0;0;0
08:10:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:10:46;AM;0;0;0;0;0
08:10:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:10:56;AM;0;0;0;0;0
08:11:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:11:06;AM;0;0;0;0;0
08:11:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:11:16;AM;0;0;0;0;0
08:11:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:11:26;AM;0;0;0;0;0
08:11:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:11:36;AM;0;0;0;0;0
08:11:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:11:46;AM;0;0;0;0;0
08:11:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:11:56;AM;0;0;0;0;0
08:12:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:12:06;AM;0;0;0;0;0
08:12:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:12:16;AM;0;0;0;0;0
08:12:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:12:26;AM;0;0;0;0;0
08:12:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:12:36;AM;0;0;0;0;0
08:12:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:12:46;AM;0;0;0;0;0
