Linux 3.10.0-1160.76.1.el7.x86_64 (lt-uxcrowd.ru) 	05/07/2024 	_x86_64_	(6 CPU)

07:57:18 AM    proc/s   cswch/s
08:27:58 AM      0.90    361.30
08:28:08 AM      0.80    243.60
08:28:18 AM      0.80    205.00
08:28:28 AM      0.90    550.30
08:28:38 AM      1.10    262.40
08:28:48 AM      0.90    192.20
08:28:58 AM      0.90    209.80
08:29:08 AM      0.80    225.50
08:29:18 AM      0.80    186.60
08:29:28 AM      0.90    225.90
08:29:38 AM      0.80    378.00
08:29:48 AM      0.80    171.70
08:29:58 AM      0.90    464.50
08:30:08 AM      1.50    281.90
08:30:18 AM      0.80    180.10
08:30:28 AM      0.90    411.00
08:30:38 AM      0.80    223.50
08:30:48 AM      1.20    196.50
08:30:58 AM      0.90    226.70
08:31:08 AM      0.80    206.50
08:31:18 AM      1.20    212.90
08:31:28 AM      0.90    203.80
08:31:38 AM      0.80    228.90
08:31:48 AM      1.20    191.00
08:31:58 AM      0.90    279.90
08:32:08 AM      0.80    230.60
08:32:18 AM      0.80    200.00
08:32:28 AM      0.90    395.50
08:32:38 AM      0.80    244.10
08:32:48 AM      0.80    162.14
08:32:58 AM      1.20    242.30
08:33:08 AM      1.30    225.80
08:33:18 AM      0.90    224.70
08:33:28 AM      0.90    188.80
08:33:38 AM      1.20    256.10
08:33:48 AM      0.80    164.30
08:33:58 AM      0.90    479.60
08:34:08 AM      1.20    262.40
08:34:18 AM      0.80    204.90
08:34:28 AM      0.90    337.40
08:34:38 AM      1.10    237.50
08:34:48 AM      0.90    160.60
08:34:58 AM      0.90    411.20
08:35:08 AM      1.10    213.50
08:35:18 AM      0.90    209.00
08:35:28 AM      0.90    425.20
08:35:38 AM      0.80    239.00
08:35:48 AM      0.80    163.90
08:35:58 AM      0.90    238.40
08:36:08 AM      1.50    259.30
08:36:18 AM      0.90    201.10
08:36:28 AM      0.90    213.50
08:36:38 AM      0.80    361.10
08:36:48 AM      0.80    162.40
08:36:58 AM      0.90    213.50
08:37:08 AM      0.80    214.10
08:37:18 AM      1.20    205.10
Average:         0.92    253.67
