Linux 3.10.0-1160.76.1.el7.x86_64 (lt-uxcrowd.ru) 	05/07/2024 	_x86_64_	(6 CPU)

07:57:09 AM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
08:07:09 AM      0.00     10.80     36.20      0.00     52.50      0.00      0.00      0.00      0.00
08:07:19 AM      0.00     16.40     20.30      0.00     46.90      0.00      0.00      0.00      0.00
08:07:29 AM      0.00     22.00    150.00      0.00    140.10      0.00      0.00      0.00      0.00
08:07:39 AM      0.00     25.17    243.86      0.00    111.09      0.00      0.00      0.00      0.00
08:07:49 AM      0.00      8.40     19.20      0.00     45.40      0.00      0.00      0.00      0.00
08:07:59 AM      0.00     31.20   1001.30      0.00    180.10      0.00      0.00      0.00      0.00
08:08:09 AM      0.00     24.00    132.40      0.00     53.90      0.00      0.00      0.00      0.00
08:08:19 AM      0.00     38.00     21.30      0.00     47.80      0.00      0.00      0.00      0.00
08:08:29 AM      0.00     18.40    154.80      0.00     96.10      0.00      0.00      0.00      0.00
08:08:39 AM      0.00     17.60    177.10      0.00     98.20      0.00      0.00      0.00      0.00
08:08:49 AM      0.00     26.00    227.80      0.00     98.80      0.00      0.00      0.00      0.00
08:08:59 AM      0.00     22.40    167.00      0.00    119.40      0.00      0.00      0.00      0.00
08:09:09 AM      0.00     11.20     57.10      0.00     78.00      0.00      0.00      0.00      0.00
08:09:19 AM      0.00     23.60     19.50      0.00     46.80      0.00      0.00      0.00      0.00
08:09:29 AM      0.00     23.60    167.90      0.00     98.90      0.00      0.00      0.00      0.00
08:09:39 AM      0.00     19.60     34.40      0.00     73.30      0.00      0.00      0.00      0.00
08:09:49 AM      0.00      6.80     18.00      0.00     45.50      0.00      0.00      0.00      0.00
08:09:59 AM      0.00     39.60    822.00      0.00    108.10      0.00      0.00      0.00      0.00
08:10:09 AM      0.00     18.80    372.80      0.00    214.60      0.00      0.00      0.00      0.00
08:10:19 AM      0.00     15.20     18.70      0.00     51.80      0.00      0.00      0.00      0.00
08:10:29 AM      0.00     27.60    153.40      0.00     95.00      0.00      0.00      0.00      0.00
08:10:39 AM      0.00     20.40    248.90      0.00    132.80      0.00      0.00      0.00      0.00
08:10:49 AM      0.00     15.60     19.00      0.00     44.70      0.00      0.00      0.00      0.00
08:10:59 AM      0.00     20.00    190.70      0.00    113.80      0.00      0.00      0.00      0.00
08:11:09 AM      0.00     26.80     55.10      0.00     51.70      0.00      0.00      0.00      0.00
08:11:19 AM      0.00     16.00     20.10      0.00     47.30      0.00      0.00      0.00      0.00
08:11:29 AM      0.00     22.80    151.20      0.00    118.10      0.00      0.00      0.00      0.00
08:11:39 AM      0.00     24.00     28.50      0.00     53.90      0.00      0.00      0.00      0.00
